"businessId","address","category","city","insertedAtTimestamp","Latitude","Longitude","name","phone","rating","reviewCount","url","zipcode"
"uaFHoq-a5XqxF-bsOK9_Qg","811 8th Ave","chinese","New York","2022-10-19 16:02:15","40.7616286634162","'-73.98688","Real Kung Fu Little Steamed Buns Ramen","'+19173882555","3.5","1098","https://www.yelp.com/biz/real-kung-fu-little-steamed-buns-ramen-new-york-2?adjust_creative=IOLsXiNGCmjb1rI-Kq-Wog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IOLsXiNGCmjb1rI-Kq-Wog","10019"
"IhSVn0TaX8xXb3wcQ-fgcA","118A Eldridge St","chinese","New York","2022-10-19 15:59:37","40.71839","'-73.9917399","Vanessa's Dumpling House","'+12126258008","4","2791","https://www.yelp.com/biz/vanessas-dumpling-house-new-york-2?adjust_creative=IOLsXiNGCmjb1rI-Kq-Wog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IOLsXiNGCmjb1rI-Kq-Wog","10002"
"je92kXXWjANmiN-dfwNapg","110 1st Ave","sushi","New York","2022-10-19 15:56:42","40.7266273498535","'-73.9856719970703","Sushi Dojo NYC","'+16466929398","4","531","https://www.yelp.com/biz/sushi-dojo-nyc-new-york?adjust_creative=IOLsXiNGCmjb1rI-Kq-Wog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IOLsXiNGCmjb1rI-Kq-Wog","10009"
"aSprnLY-6GkMk1cuv0TMeA","248 5th Ave","italian","Brooklyn","2022-10-19 15:37:13","40.675332643247","'-73.981340475038","Al Di La Trattoria","'+17187834565","4","939","https://www.yelp.com/biz/al-di-la-trattoria-brooklyn?adjust_creative=IOLsXiNGCmjb1rI-Kq-Wog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IOLsXiNGCmjb1rI-Kq-Wog","11215"
"YwpP-mgXV5N35xhLibLw5g","453 Rogers Ave","ramen","Brooklyn","2022-10-19 15:45:10","40.66127","'-73.95342","Names","'+17185130698","4","149","https://www.yelp.com/biz/names-brooklyn-3?adjust_creative=IOLsXiNGCmjb1rI-Kq-Wog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IOLsXiNGCmjb1rI-Kq-Wog","11225"
"ypqK8DWM8Bcs43YveSJnNw","28 Liberty St","newamerican","New York","2022-10-19 15:15:12","40.70800627689857","'-74.00888226517013","Manhatta","'+12122305788","4.5","531","https://www.yelp.com/biz/manhatta-new-york?adjust_creative=IOLsXiNGCmjb1rI-Kq-Wog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IOLsXiNGCmjb1rI-Kq-Wog","10005"
"QPEzLkO35OTYijFhs8d7-w","16 E 46th St","breakfast_brunch","New York","2022-10-19 15:09:19","40.7555","'-73.97802","The Reading Room","'+16463962708","5","13","https://www.yelp.com/biz/the-reading-room-new-york?adjust_creative=IOLsXiNGCmjb1rI-Kq-Wog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IOLsXiNGCmjb1rI-Kq-Wog","10017"
"RR2EAtBRVzoP8icHrHGDJg","337 9th St","coffee","Brooklyn","2022-10-19 16:09:50","40.6688691536583","'-73.9852216467261","Golden Shovel","'+13475579818","4.5","23","https://www.yelp.com/biz/golden-shovel-brooklyn?adjust_creative=IOLsXiNGCmjb1rI-Kq-Wog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IOLsXiNGCmjb1rI-Kq-Wog","11215"
"fyepvQnhH7O1Bw9V4Xu-OA","2308 Bergenline Ave","delis","Union City","2022-10-19 15:42:29","40.767234","'-74.03244","La Bella Salumeria Delicatessen","'+12018673065","4.5","63","https://www.yelp.com/biz/la-bella-salumeria-delicatessen-union-city?adjust_creative=IOLsXiNGCmjb1rI-Kq-Wog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IOLsXiNGCmjb1rI-Kq-Wog","07087"
"FXhSEZfIqjMZh4hR0_8jMQ","360 W 42nd Street","chinese","New York","2022-10-19 16:00:02","40.7582902125633","'-73.9925113993899","China Xiang 中国湘","'+12129676088","4","533","https://www.yelp.com/biz/china-xiang-%E4%B8%AD%E5%9B%BD%E6%B9%98-new-york-2?adjust_creative=IOLsXiNGCmjb1rI-Kq-Wog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IOLsXiNGCmjb1rI-Kq-Wog","10036"
